DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
30/10/2006|Rogério Ceni|1|Paulo Markun|Boa noite. Depois de uma campanha [eleitoral] marcada por ataques de todos os lados, vamos falar um pouco de defesa. Ele tem tudo que um bom goleiro pode ter e precisa ter: agilidade, reflexo, posicionamento e as melhores saídas de bola, mas tem uma coisa a mais do que os outros, faz gols. Já fez tantos que se tornou recordista. É o goleiro que marcou mais gols na história do futebol mundial. O Roda Viva entrevista esta noite Rogério Ceni, que acaba de completar 700 partidas como titular do São Paulo e já é considerado o maior ídolo da história do clube. O Roda Viva começa num instante.
30/10/2006|Rogério Ceni|2|[intervalo]|intervalo]
30/10/2006|Rogério Ceni|3|Paulo Markun|O torcedor veste a camisa de Rogério Ceni e Rogério Ceni veste a camisa do São Paulo. Um dos jogadores mais bem pagos do Brasil, o goleiro são-paulino tem com o time uma ligação maior do que o salário. Rogério Ceni comprou um título de sócio do clube, planeja ajudar na direção e, quem sabe, chegar um dia à presidência. Deixar o São Paulo é difícil, é quase uma obsessão que já mantém Rogério há 16 anos no Tricolor.
30/10/2006|Rogério Ceni|4|[Comentarista]|Rogério Ceni nasceu em Pato Branco, no Paraná, mas foi no Mato Grosso, na cidade de Sinop que começou a carreira como jogador. Antes, chegou a praticar tênis e vôlei. Goleiro reserva do time da cidade, assumiu o posto pela primeira vez em 1990, depois que dois colegas se machucaram. Não saiu mais do gol do time do Sinop, que naquele ano conquistou o título estadual. Em setembro do mesmo ano, fez um teste no São Paulo e recebeu convite para fazer parte do elenco. Em agosto de 1992, Rogério Ceni sentou no banco de reservas pela primeira vez. A estréia ocorreu um ano depois, na Espanha, numa partida contra o Terenife. Foi nesse ano que conquistou, como titular, a Copa São Paulo de Juniores. No banco, foi campeão da Recopa-Sulamericana, Super Copa da Libertadores e a Libertadores da América, além do Mundial Interclubes. Rogério Ceni assumiu a camisa número 1 do São Paulo em 1997, depois que o goleiro Zetti deixou o clube. Fez fama, conquistou títulos, mas também arrumou alguns inimigos. Foi acusado, por conselheiros do São Paulo, de ser marqueteiro e individualista. Conhecido por falar o que pensa, afirmou que basta ter opinião para ser polêmico. Em 2001, teve a maior crise no clube, foi afastado do elenco por quase um mês pelo presidente, após uma frustrada transferência para o Arsenal, da Inglaterra. Ceni teve algumas passagens pela Seleção Brasileira. Num amistoso para comemorar o centenário do Barcelona, em 1999, foi criticado pelos gols no empate em 2 a 2. Em 2002, Luis Felipe Scolari [conhecido como Felipão, técnico da Seleção Brasileira em 2002, na conquista do penta-campeonato na Copa da Mundo. Técnico da Seleção de Portugal a partir de 2003] levou Rogério Ceni para disputar o mundial na Ásia, para ser o terceiro goleiro do Brasil ao lado de Marcos e Dida. Na Alemanha, Carlos Alberto Parreira [técnico da Seleção em 1983, 1984, 1991, e de 2003 a 2006] também convocou o goleiro do São Paulo para completar o grupo que tentava a conquista do sexto título mundial. As defesas o transformaram em um ídolo da torcida Tricolor, mas foram os gols que o diferenciaram dos demais goleiros. E foi justamente Muricy Ramalho, atual treinador do São Paulo, que lhe deu a primeira chance, em 1997. Dia 15 de fevereiro, contra o União São João de Araras, Rogério Ceni iniciou a saga de gols que o consagraram como goleiro artilheiro. Depois desse, foram outros tantos, de falta e de pênalti. Gols que o transformaram no goleiro que mais balançou as redes adversárias. O goleiro paraguaio, Chilavert [totalizou 62 gols em partidas oficiais: 45 de pênaltis, 15 de falta e dois com a bola em jogo], apesar de não ser considerado um rival, foi superado no ano passado quando Ceni anotou o seu gol [de número] 63. Bateu o recorde na partida contra o Cruzeiro, este ano. Após o time estar perdendo por 2 a 0, Rogério Ceni apareceu. Defendeu um pênalti, fez um gol de falta e ainda anotou outro de pênalti. No total, tem 66 gols, sendo 43 de falta e outros 23 de pênalti. Sábado, contra o Figueirense, Rogério Ceni completou 700 partidas como titular com a camisa do São Paulo. O goleiro é casado e tem duas filhas.
30/10/2006|Rogério Ceni|5|Paulo Markun|Para entrevistar Rogério Ceni, nós convidamos: Raul Plasmann, ex-goleiro e comentarista da TV Record; Mauro Naves, repórter esportivo da TV Globo; Hélio Alcântara, apresentador e diretor do programa Grandes Momentos do Esporte, da TV Cultura; Marília Ruiz, colunista do jornal Lance!; Vladir Lemos, apresentador do programa Cartão Verde, da TV Cultura; Luiz Gonzaga Belluzzo, economista e palmeirense; e Wagner Vilaron, repórter e colunista esportivo do jornal Diário de São Paulo. Temos também a participação do cartunista Paulo Caruso, registrando em seus desenhos os momentos e os flagrantes do programa. O Roda Viva é transmitido em rede nacional de TV para todo o Brasil. Bem, boa noite Rogério, eu queria dizer que eu sou um corinthiano, mas sou um péssimo corinthiano. Aliás...
30/10/2006|Rogério Ceni|6|Rogério Ceni|[interrompendo] Você é mais um corinthiano dessa vida.
30/10/2006|Rogério Ceni|7|Paulo Markun|Eu sempre fui um péssimo esportista, tão ruim que, quando eu era garoto, só me deixavam jogar no gol quando a bola era minha. Eu queria perguntar, a partir disso, o seguinte: por que é que você foi parar no gol?
30/10/2006|Rogério Ceni|8|Rogério Ceni|Primeiramente boa noite a todos. É um prazer estar aqui. Eu trabalhava no Banco do Brasil, na agência em Sinop, no Mato Grosso. Meu chefe era o goleiro e eu jogava na linha, eu sempre gostei de jogar futebol na linha e, num desses dias, meu chefe faltou ao jogo na Associação Atlética do Banco do Brasil. Eu, como mais jovem da turma, me propus, por educação, ir ao gol. Fiz uma boa partida e o pessoal...
30/10/2006|Rogério Ceni|9|Paulo Markun|[interrompendo] Quer dizer, não foi por vontade, foi meio...
30/10/2006|Rogério Ceni|10|Rogério Ceni|[interrompendo] Foi por livre e espontânea pressão. Aí eu fui pro gol, joguei bem, meu chefe acabou nunca mais sendo o titular. Eles quiseram que eu continuasse jogando no gol, daí então veio a oportunidade do Sinop Futebol Clube, que é o time da minha cidade, de me convidar para fazer parte do elenco daquele ano. O time não tinha muitas condições financeiras para trazer todos os jogadores de fora da cidade, então eu fui como terceiro goleiro do Sinop Futebol Clube. Os dois primeiros goleiros acabaram se machucando, eu entrei no meio da competição, nós fomos campeões. Foi a primeira vez que uma equipe do interior do estado do Mato Grosso se sagrou campeã mato-grossense e aí eu vim fazer testes em São Paulo.
30/10/2006|Rogério Ceni|11|Paulo Markun|O que é que um goleiro precisa de ter acima de tudo?
30/10/2006|Rogério Ceni|12|Rogério Ceni|Acima de tudo? Personalidade. Mas isso é apenas um dentre os vários quesitos que são necessários para você se tornar, não é nem um grande goleiro, mas sim um bom profissional na sua área. Eu acho que você tem que ter muito profissionalismo, tem que ter muita noção de espaço, direção, força. Enfim, eu acho que tem que ter várias coisas que você tem que se aprimorar, crescer para ser um grande goleiro, além de sorte.
30/10/2006|Rogério Ceni|13|Hélio Alcântara|Rogério, nesse meio que a gente se conhece, no futebol... eu queria saber, aliás, sua opinião sobre o meio do futebol. Você está há 16 anos, pelo menos como profissional, precisa ter mais personalidade ainda?
